Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Influence of host resistance on Stewart's Wilt forecasts and probability of exceeding thresholds for use of seed-treatment insecticides on sweet corn		
Specific light-emitting diodes can suppress sporulation of Podosphaera pannosa on greenhouse roses		
Identification and characterization of carbendazim-resistant isolates of Gibberella zeae		
Direct polymerase chain reaction-based detection of Cercospora beticola in field soils		
An experimental host range for Triticum mosaic virus		
Local distance of wheat spike infection by released clones of Gibberella zeae disseminated from infested corn residue		
Production of Macrophomina phaseolina conidia by multiple soybean isolates in culture		
Virulence in Puccinia triticina for Durum Wheat Cultivar Creso and Other Durum Wheat Cultivars Carrying Resistance Gene Lr14a in France		
First report of leaf blight on woodland sage caused by rhizoctonia solani AG 1 in Italy		
First report of fusarium andiyazi associated with rice bakanae in Italy		
Host status of graminaceous cover crops for Pratylenchus brachyurus		
First report of cucumber mosaic virus infecting blephilia hirsuta in North America		
First report of spot form of net blotch of barley caused by Pyrenophora teres f. maculata in Hungary		
Aggressiveness of Phytophthora cactorum, P. citricola I, and P. plurivora from European beech		
First report of lasiodiplodia crassispora as a pathogen of grapevine trunks in South Africa		
First report of Agrobacterium rubi and A. rhizogenes causing crown and root gall and hairy root on blueberry in Argentina		
First Report of Beet mosaic virus Infecting Chickpea (Cicer arietinum) in Tunisia		
First report of Turnip mosaic virus on watercress in Brazil		
First report of neofusicoccum parvum associated with stem canker and dieback of Asian pear trees in Taiwan		
Aggressiveness of Phomopsis longicolla and other Phomopsis spp. on soybean		
First Report of Black Spot Disease Caused by Alternaria alternata in Persimmon Fruits in Turkey		
Changing models for commercialization and implementation of bio control in the developing and the developed world		
Multiplex real-time PCR assays for the identification of the potato cyst and tobacco cyst nematodes		
Identification of the phytoplasma associated with wheat blue dwarf disease in China		
Natural occurrence of Phytophthora infestans causing late blight on woody nightshade (Solanum dulcamara) in New York		
Identification of species in the Botryosphaeriaceae family causing stem blight on southern highbush blueberry in Florida		
Molecular diagnostic assay for detection of the of the butternut canker pathogen Sirococcus clavigignenti-juglandacearum		
First report of Acidovorax avenae subsp. citrulli as the causal agent of bacterial leaf blight of betelvine in Taiwan		
First report on the occurrence of Grapevine leafroll-associated virus 5 in Chilean Grapevines		
First report of Colletotrichum capsici causing postharvest anthracnose on papaya in South Florida		
Effect of QoI fungicides on colonization and sporulation of Monilinia fructicola on peach fruit and blossom blight cankers		
First report of Penicillium glabrum causing a postharvest fruit rot of pomegranate (Punica granatum) in the piedmont region of Italy		
Fern distortion syndrome of leatherleaf fern in Costa Rica: Symptoms, incidence, and severity		
First report of blueberry red ringspot virus in highbush blueberry in the Czech Republic		
First report of citrus exocortis viroid from grapevine in China		
First Report of Xanthomonas hortorum pv. carotae Causing Bacterial Leaf Blight of Carrot in Mauritius		
First report of Pestalotiopsis microspora causing leaf spot of hidcote (Hypericum patulum) in Japan		
Immunodetection of two curtoviruses infecting sugar beet		
Identification of iris yellow spot virus on leek (allium porrum) in Sri Lanka		
Grafting tomato with interspecific rootstock to manage diseases caused by Sclerotium rolfsii and southern root-knot nematode		
Genetic and pathological diversity among Xanthomonas strains responsible for bacterial spot on tomato and pepper in the southwest Indian Ocean region		
Effect of watering regime on disease development in Pinus sylvestris seedlings inoculated with Bursaphelenchus vallesianus and B. mucronatus		
First Report of Phytophthora pseudosyringae Associated with Ink Disease of Castanea sativa in Italy		
Efficacy of natural plant products on the control of aggregate sheath spot of rice		
Association of Phytophthora cinnamomi with white oak decline in southern Ohio		
Scarification and environmental factors that enhance carpogenic germination of sclerotia of Sclerotinia sclerotiorum		
First report of iris yellow spot virus on Garlic in India		
Primary inoculum sources of Monilinia spp. in Spanish peach orchards and their relative importance in brown rot		
Characterization of Cherry leafroll virus in Sweet Cherry in Washington State		
First report of anthracnose caused by colletotrichum in pumpkin in Trinidad		
First Report of Fusarium redolens Causing Root Rot of Soybean in Minnesota		
Goss's bacterial blight and wilt of corn caused by Clavibacter michiganensis subsp. nebraskensis occurs in Minnesota		
First Report of Pythium myriotylum Causing Root and Stem Rot on Tobacco in Zimbabwe		
A PCR-based assay for detection of fusarium oxysporum f. Sp. lactucae in lettuce seed		
First report of alternaria leaf blight on bupleurum Chinense caused by alternaria alternata in China		
Rhizoctonia web blight development on container-grown azalea in relation to time and environmental factors		
First report of tobacco etch virus infection in coleus in the United States		
First Report of 'Candidatus Phytoplasma asteris'- Related Strain Associated with Peach Rosette in Canada		
Weed hosts of globodera pallida from Idaho		
First report of citrus bark cracking viroid and citrus viroid V infecting citrus in China		
First report of European mountain ash ringspot-associated virus in Sorbus aucuparia from Eastern, Karelia, Russia		
First report of a new curtovirus species, Spinach severe curly top virus, in commercial Spinach plants (Spinacia oleracea) from South-Central Arizona		
First report of zucchini yellow mosaic virus associated with leaf crinkle and yellow mosaic diseases of cucurbit plants in mali		
First report of collar and root rot caused by phytophthora nicotianae on oriental paperbush (Edgeworthia papyrifera) in Italy		
First report of tomato spotted wilt virus in sweet pepper in Taiwan		
Impact of brown spot caused by Septoria glycines on soybean in Ohio		
First report of banana bract mosaic virus in flowering Ginger in Hawaii		
First report of Corynespora cassiicola causing leaf spot of Cassava in China		
First report of leaf spot on horseweed (Conyza canadensis) caused by Septoria erigerontis in Turkey		
First report of iresine viroid 1 in celosia plumosa in the Netherlands		
First report of okra yellow mosaic Mexico virus in okra in the United States		
Field application of calcium to reduce phytophthora stem rot of soybean, and calcium distribution in plants		
Efficacy of brassicaceous seed meal formulations for the control of apple replant disease in conventional and organic production systems		
The Uniqueness of the Soybean Rust Pathosystem: An improved understanding of the risk in different regions of the world		
Risk assessment methods for the ringspot pathogen mycosphaerella brassicicola in vegetable brassica crops		
First report of Impatiens necrotic spot virus infecting Phalaenopsis and dendrobium orchids in Yunnan Province, China		
Influence of environment on airborne spore concentrations and severity of asparagus purple spot		
First report of a bacterial disease on creeping bentgrass (Agrostis stolonifera) caused by acidovorax spp. In the United States		
First report of potato mop-top virus on potato in Poland		
